station_name,sample_size,late_rate,cancellation_rate,avg_delay_minutes,p80_delay_minutes
Berlin Ostkreuz,64476,0.0919,0.0693,2.2,2.0
München Hbf,64355,0.3346,0.0519,5.9,8.0
Frankfurt (Main) Hbf,60842,0.2619,0.0649,5.3,8.0
Hamburg Hbf,59866,0.2321,0.0694,4.7,6.0
Berlin Friedrichstraße,49005,0.0814,0.0453,2.2,3.0
Stuttgart Hbf,48001,0.3497,0.0632,6.3,9.0
Düsseldorf Hbf,45821,0.2825,0.0472,5.9,8.0
Berlin Hauptbahnhof,44992,0.1859,0.0409,4.8,5.0
Berlin Ostbahnhof,40509,0.1535,0.0593,4.1,4.0
Köln Hbf,38906,0.3754,0.0507,7.8,12.0
Berlin Gesundbrunnen,37814,0.0682,0.0557,1.8,2.0
Hamburg-Altona,37613,0.1694,0.0619,3.6,5.0
Berlin Südkreuz,36477,0.0426,0.0818,1.6,2.0
München Ost,34648,0.3185,0.0587,5.2,8.0
Dortmund Hbf,33513,0.319,0.0545,6.7,10.0
Köln Messe/Deutz,32614,0.3404,0.053,6.4,10.0
Nürnberg Hbf,32068,0.2034,0.0235,4.6,6.0
München-Pasing,31498,0.3449,0.0439,6.0,8.0
Berlin Zoologischer Garten,30544,0.1214,0.0436,3.0,3.0
Hannover Hbf,30531,0.3044,0.0403,6.8,10.0
Leipzig Hbf,29471,0.1437,0.0354,3.3,4.0
Berlin-Lichtenberg,27772,0.0815,0.0738,2.1,3.0
Berlin Potsdamer Platz,26303,0.044,0.0551,1.8,2.0
Frankfurt (Main) Süd,26232,0.2364,0.0676,4.3,6.0
Duisburg Hbf,24659,0.3679,0.0634,7.8,12.0
Hamburg-Harburg,24583,0.2748,0.0689,6.2,8.0
Essen Hbf,23801,0.3722,0.0606,7.7,12.0
Mannheim Hbf,22065,0.2742,0.0215,6.1,8.0
Karlsruhe Hbf,21801,0.2347,0.0311,4.8,7.0
Ulm Hbf,20469,0.2324,0.0268,4.9,6.0
Berlin-Wannsee,20140,0.116,0.0754,2.7,3.0
Berlin-Spandau,19066,0.2437,0.0383,6.6,8.0
Münster (Westf) Hbf,18761,0.3663,0.062,7.6,12.0
Hamburg Dammtor,18718,0.2101,0.162,4.8,6.0
Halle (Saale) Hbf,18259,0.1421,0.0205,3.2,4.0
Neuss Hbf,18175,0.2448,0.0672,4.6,7.0
Wuppertal Hbf,18042,0.3306,0.0769,6.9,11.0
Augsburg Hbf,18007,0.2425,0.0456,5.4,7.0
Mainz Hbf,17815,0.3203,0.0296,6.6,10.0
Bremen Hbf,17313,0.2438,0.0363,5.5,7.0
Dresden Hbf,16824,0.1436,0.0153,3.3,4.0
Dresden-Neustadt,16590,0.152,0.0112,3.4,4.0
Oberhausen Hbf,16078,0.2568,0.0394,4.9,7.0
Hanau Hbf,15866,0.3037,0.0782,5.9,9.0
Erfurt Hbf,15779,0.1944,0.0108,4.5,5.0
Hagen Hbf,15129,0.3345,0.0351,7.0,10.0
Heidelberg Hbf,14673,0.2192,0.0292,4.5,6.0
Wiesbaden Hbf,14606,0.2197,0.0312,4.0,6.0
Braunschweig Hbf,14476,0.1876,0.0191,3.9,5.0
Kassel-Wilhelmshöhe,14233,0.3322,0.0351,8.0,11.0
Bielefeld Hbf,14040,0.2663,0.0394,5.6,8.0
Bruchsal,14001,0.1388,0.0213,2.7,4.0
Potsdam Hbf,13605,0.0743,0.0578,2.1,3.0
Hamm (Westf) Hbf,13073,0.4495,0.0418,10.3,17.0
Koblenz Hbf,12935,0.3501,0.037,7.4,12.0
Flughafen BER,12912,0.0582,0.0516,1.4,2.0
Freiburg (Breisgau) Hbf,12869,0.1769,0.0152,4.1,5.0
Mönchengladbach Hbf,12657,0.2802,0.0747,5.3,9.0
Aachen Hbf,12588,0.277,0.1231,5.5,8.0
Würzburg Hbf,12581,0.2851,0.0324,7.5,10.0
Solingen Hbf,12560,0.2343,0.0645,4.8,7.0
Gelsenkirchen Hbf,12513,0.4083,0.0489,7.8,12.0
Magdeburg Hbf,12491,0.2636,0.0495,5.1,7.0
Tübingen Hbf,11985,0.2,0.0582,3.5,5.0
Chemnitz Hbf,11959,0.0911,0.011,1.9,2.0
Gießen,11754,0.2308,0.0314,4.4,6.0
Darmstadt Hbf,11723,0.176,0.027,3.5,5.0
Osnabrück Hbf,11505,0.3653,0.0362,7.8,13.0
Saarbrücken Hbf,11240,0.1272,0.0211,2.6,3.0
Regensburg Hbf,11168,0.2566,0.0159,5.3,8.0
Göttingen,11132,0.3306,0.0308,8.1,12.0
Bietigheim-Bissingen,11019,0.2268,0.0272,4.3,6.0
Lübeck Hbf,10535,0.1308,0.0291,2.8,3.0
Bamberg,10395,0.162,0.019,3.3,5.0
Kiel Hbf,10135,0.0927,0.052,2.2,2.0
Offenburg,9882,0.1846,0.0298,4.4,5.0
Fürth (Bay) Hbf,9796,0.2217,0.0184,3.9,6.0
Plochingen,9476,0.3276,0.068,5.4,9.0
Ludwigshafen (Rhein) Hbf,9317,0.2141,0.012,3.9,6.0
Kaiserslautern Hbf,9298,0.1567,0.0194,3.2,4.0
Rostock Hbf,9297,0.07,0.008,1.6,2.0
Singen (Hohentwiel),9267,0.1843,0.0288,4.0,5.0
Pforzheim Hbf,9213,0.1375,0.0442,2.9,4.0
Bonn Hbf,9129,0.313,0.0359,6.9,11.0
Fulda,9102,0.3871,0.0253,8.8,13.0
Paderborn Hbf,8986,0.255,0.0236,4.5,7.0
Neustadt (Weinstr) Hbf,8801,0.1776,0.03,3.4,5.0
Hildesheim Hbf,8614,0.2187,0.024,4.4,6.0
Ingolstadt Hbf,8068,0.2465,0.0397,5.5,7.0
Aschaffenburg Hbf,7871,0.2737,0.032,6.1,8.0
